SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO
DEPENDIENTE,C,FEMENINO,20,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,BACHILLER EN ADMINISTRACION,TOYOTA,COROLLA,LIMA,ROJO MICA METALICO,HATCHBACK,5,PARTICULAR
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,SAN ISIDRO,BACHILLER EN ADMINISTRACION,HONDA,CR-V,LIMA,PLATA ALABASTRO,SUV,5,
DEPENDIENTE,B,FEMENINO,30,LIMA,LIMA,SAN JUAN DE MIRAFLORES,BACHILLER EN ADMINISTRACION,SUZUKI,SWIFT,LIMA,GRIS,SEDAN,5,PARTICULAR
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,SURQUILLO,BACHILLER EN ADMINISTRACION,HYUNDAI,CRETA,LIMA,GRIS,SUV,5,PARTICULAR
DEPENDIENTE,D,FEMENINO,25,SAN MARTIN,RIOJA,YORONGOS,BACHILLER EN ADMINISTRACION,YAMAHA,CRYPTON,MOYOBAMBA,ROJO,MOTOCICLETA,2,
DEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,SANTIAGO DE SURCO,BACHILLER EN ADMINISTRACION,LAND ROVER,RANGE ROVER EVOQUE,LIMA,BLANCO NEGRO,SUV,5,PARTICULAR
DEPENDIENTE,D,FEMENINO,30,CUSCO,CUSCO,CUSCO,BACHILLER EN ADMINISTRACION,HYUNDAI,ACCENT,CUSCO,BLANCO,SEDAN,5,URBANO/INTERURBANO
DEPENDIENTE,RURAL,MASCULINO,20,CUSCO,CUSCO,CUSCO,BACHILLER EN ADMINISTRACION,HYUNDAI,GRAND i10,CUSCO,ROJO OSCURO,SEDAN,5,PARTICULAR
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,LA MOLINA,BACHILLER EN ADMINISTRACION,SUZUKI,VITARA,LIMA,BEIGE NEGRO,SUV,5,
DEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,MIRAFLORES,BACHILLER EN ADMINISTRACION,MERCEDES-BENZ,A 200,LIMA,NEGRO,HATCHBACK,5,
