SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO,COT
DEPENDIENTE,B,MASCULINO,20,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,BACHILLER EN COMUNICACION AUDIOVISUAL Y MEDIOS INT,HONDA,WR-V,LIMA,AZUL COSMIC,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,33,LIMA,LIMA,CHORRILLOS,BACHILLER EN COMUNICACION COMUNICACION,HONDA,WR-V,LIMA,PLATA SILVER,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,COMAS,BACHILLER EN COMUNICACION SOCIAL,FIAT,PALIO ADVENTURE,LIMA,GRIS BARI,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,SAN MIGUEL,BACHILLER EN COMUNICACIONES,CHEVROLET,SPARK SEDAN,TACNA,PLATA SWITCHBLADE,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,LIMA,LIMA,SURQUILLO,BACHILLER EN CONTABILIDAD,KIA,PICANTO,LIMA,GRIS ASTRO,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,32,LIMA,LIMA,SAN MIGUEL,BACHILLER EN CONTABILIDAD,NISSAN,VERSA,LIMA,BEIGE PERLADO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,AREQUIPA,AREQUIPA,JACOBO HUNTER,BACHILLER EN CONTABILIDAD,GEELY,GX3,AREQUIPA,ROJO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,32,LIMA,LIMA,CARABAYLLO,BACHILLER EN CONTABILIDAD,TOYOTA,YARIS,LIMA,GRIS OSCURO METALICO,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,31,LIMA,LIMA,PUEBLO LIBRE,BACHILLER EN CONTABILIDAD,SUZUKI,GRAND NOMADE,LIMA,GRIS,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,ANCASH,SANTA,NUEVO CHIMBOTE,BACHILLER EN CONTABILIDAD,CHEVROLET,CAPTIVA,LIMA,GRIS TUNGSTENO MET,SUV,7,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN MIGUEL,BACHILLER EN CONTABILIDAD,SUZUKI,APV,TRUJILLO,BLANCO,MULTIPROPOSITO,8,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,MIRAFLORES,BACHILLER EN CONTABILIDAD,TOYOTA,RUSH,LIMA,PLATA METALICO,SUV,7,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,BACHILLER EN CONTABILIDAD,CHERY,K60,LIMA,DORADO,SUV,7,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,BACHILLER EN CONTABILIDAD,SUZUKI,SX4,LIMA,GRIS,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,31,AREQUIPA,AREQUIPA,AREQUIPA,BACHILLER EN CONTABILIDAD,VOLKSWAGEN,VOYAGE GP COMFORT 1.6,AREQUIPA,NEGRO NINJA,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN CONTABILIDAD,HYUNDAI,NEW TUCSON,LIMA,NEGRO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,51,ANCASH,POMABAMBA,POMABAMBA,BACHILLER EN CONTABILIDAD,NISSAN,FRONTIER,LIMA,BLANCO,PICK UP,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,EL AGUSTINO,BACHILLER EN CONTABILIDAD,NISSAN,VERSA,LIMA,NEGRO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN MIGUEL,BACHILLER EN CONTABILIDAD,HYUNDAI,GRAND i10,LIMA,AZUL,SEDAN,5,PARTICULAR,1
